Genome,genomeId,sampleId,sampleName,AssemblyAccession,AssemblyName,SpeciesName,taxonomy_check_status,strain,virulence,virulence_pcr,geo_loc_country,continent,host,isolation_source,collection_year,collected_by,env_broad_scale,type_material,source,representative_status,sample_type,length,N50,L50,n_contigs,nodepath.ani_upgma,nodepath.ani_nj,nodepath.kmer_upgma,nodepath.kmer_nj,nodepath.core_snp_ml
233,g_233,GCF_013488025.1_ASM1348802v1,GCF_013488025.1,GCF_013488025.1,ASM1348802v1,P. carotovorum,OK,WPP14,NA,NA,United States,North America,potato,NA,2015,NA,NA,NA,NCBI,representative genome,cell culture,4892225,4892225,1,1,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n291;n292;n293;n294;n295;n296;n297;n298;n300;g_233,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n149;n150;n151;n152;n153;n154;n155;n156;g_233,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n292;n293;n294;n295;n296;n297;n298;n299;g_233,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;g_233,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n4;n3;n444;n445;n446;n447;n449;g_233
234,g_234,GCF_013450045.1_ASM1345004v1,GCF_013450045.1,GCF_013450045.1,ASM1345004v1,P. odoriferum,OK,CFBP8735,NA,NA,France,Europe,NA,NA,2016,NA,fresh river water,NA,NCBI,NA,NA,4965767,131982,12,103,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n322;n332;g_234,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n127;n137;g_234,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;n324;n325;n330;g_234,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n349;n350;n351;n355;g_234,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;n413;n414;n415;n416;n417;n421;g_234
235,g_235,GCF_013449715.1_ASM1344971v1,GCF_013449715.1,GCF_013449715.1,ASM1344971v1,P. aroidearum,corrected,CFBP8737,NA,NA,France,Europe,NA,NA,2015,NA,CFBP8737,NA,NCBI,NA,NA,4895810,326273,4,39,n1;n2;n3;n4;n343;n344;n345;n367;n368;n369;n371;g_235,n1;n453;n180;n179;n258;n259;n260;n282;n283;n284;n285;g_235,n1;n2;n3;n4;n5;n344;n345;n346;n347;n369;g_235,n1;n453;n252;n199;n198;n277;n278;n279;n280;n302;g_235,n1;n453;n13;n14;n15;n16;n17;n18;n19;n41;g_235
236,g_236,GCF_013449685.1_ASM1344968v1,GCF_013449685.1,GCF_013449685.1,ASM1344968v1,P. brasiliense,corrected,CFBP8736,NA,NA,France,Europe,NA,NA,2016,NA,fresh river water,NA,NCBI,NA,NA,4651589,107870,12,120,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n143;n144;g_236,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n356;n357;n358;g_236,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n145;n146;g_236,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n130;n131;g_236,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n242;n245;n246;g_236
237,g_237,GCF_013449675.1_ASM1344967v1,GCF_013449675.1,GCF_013449675.1,ASM1344967v1,P. versatile,OK,CFBP5378,NA,NA,United Kingdom,Europe,Solanum tuberosum,NA,1995,NA,infected host plant,NA,NCBI,NA,NA,4940385,277607,7,48,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n213;n228;n230;g_237,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n58;n59;g_237,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n235;n237;g_237,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n3;n410;n411;n412;n413;n424;n425;g_237,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n351;n352;n378;n382;n383;g_237
238,g_238,GCF_013449655.1_ASM1344965v1,GCF_013449655.1,GCF_013449655.1,ASM1344965v1,P. versatile,OK,CFBP5669,NA,NA,France,Europe,Primula obconica,NA,1978,NA,infected host plant,NA,NCBI,NA,NA,4958148,245703,6,40,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n235;n244;n245;n246;n247;g_238,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n62;n63;n72;n73;n74;n75;g_238,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n213;n229;n230;n231;n233;g_238,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n3;n410;n411;n434;n435;n436;g_238,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n351;n352;n353;n354;n356;n358;g_238
239,g_239,GCF_013449605.1_ASM1344960v1,GCF_013449605.1,GCF_013449605.1,ASM1344960v1,P. versatile,OK,CFBP6698,NA,NA,France,Europe,Allium ampeloprasum,NA,2000,NA,infected host plant,NA,NCBI,NA,NA,4961712,120001,15,81,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n235;n236;n237;n238;n239;n240;g_239,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n62;n63;n64;n65;n66;n67;n68;g_239,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n238;n239;n240;n241;n242;n243;n244;g_239,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n3;n410;n440;n445;n446;n447;n448;g_239,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n351;n352;n353;n360;n373;n374;n375;n376;n377;g_239
240,g_240,GCF_013449535.1_ASM1344953v1,GCF_013449535.1,GCF_013449535.1,ASM1344953v1,P. brasiliense,OK,CFBP7357,NA,NA,Syria,Asia,Solanum tuberosum,NA,2003,NA,infected host plant,NA,NCBI,NA,NA,4804400,231494,8,44,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;g_240,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n379;n380;n381;n393;g_240,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;n91;g_240,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;g_240,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n204;n210;n211;n219;n222;g_240
241,g_241,GCF_013449495.1_ASM1344949v1,GCF_013449495.1,GCF_013449495.1,ASM1344949v1,P. carotovorum,OK,CFBP6074,NA,NA,United States,North America,Solanum tuberosum,NA,NA,NA,infected host plant,NA,NCBI,NA,NA,4678396,207976,8,52,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n306;n307;n308;n309;n310;g_241,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n167;n168;n169;g_241,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n306;n307;n308;n309;n310;n311;g_241,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n333;n334;n335;n336;n337;n338;g_241,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n430;n435;n436;n437;n439;g_241
242,g_242,GCF_013449485.1_ASM1344948v1,GCF_013449485.1,GCF_013449485.1,ASM1344948v1,P. brasiliense,OK,CFBP3230,NA,NA,United States,North America,Gossypium sp.,NA,1964,NA,infected host plant,NA,NCBI,NA,NA,4848656,394958,5,43,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n77;g_242,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n15;n409;g_242,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n76;n86;g_242,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n86;g_242,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n137;n192;n193;g_242
243,g_243,GCF_013449475.1_ASM1344947v1,GCF_013449475.1,GCF_013449475.1,ASM1344947v1,P. brasiliense,OK,CFBP5381,NA,NA,Algeria,Africa,NA,NA,1997,NA,infected host plant,NA,NCBI,NA,NA,4596310,230522,6,47,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n103;n104;n105;n106;g_243,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n379;n380;n394;n395;n396;n397;g_243,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;n91;n92;n105;n106;n107;n108;g_243,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;n91;n104;n105;n106;n107;n108;g_243,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n204;n210;n223;n224;n225;n226;n227;g_243
244,g_244,GCF_013449415.1_ASM1344941v1,GCF_013449415.1,GCF_013449415.1,ASM1344941v1,P. carotovorum,OK,CFBP8734,NA,NA,France,Europe,NA,NA,2015,NA,fresh river water,NA,NCBI,NA,NA,4699456,325663,5,48,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n306;n307;n308;n309;n310;n311;g_244,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n167;n168;n169;n170;g_244,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n306;n307;n308;n309;n310;n311;n312;g_244,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n333;n334;n335;n336;n337;n338;n339;g_244,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n430;n435;n436;n437;n439;n440;g_244
245,g_245,GCF_013449405.1_ASM1344940v1,GCF_013449405.1,GCF_013449405.1,ASM1344940v1,P. versatile,OK,CFBP1118,NA,NA,NA,NA,Brassica oleracea,NA,1967,NA,infected host plant,NA,NCBI,NA,NA,4960550,51811,29,186,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n265;n273;n277;g_245,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n100;n104;g_245,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n262;n263;n267;g_245,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n376;n377;n378;n390;g_245,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n326;n334;g_245
246,g_246,GCF_013449395.1_ASM1344939v1,GCF_013449395.1,GCF_013449395.1,ASM1344939v1,P. carotovorum,OK,CFBP7347,NA,NA,Syria,Asia,Solanum tuberosum,NA,2003,NA,infected host plant,NA,NCBI,NA,NA,4692764,317373,5,37,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n291;n292;n303;g_246,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n149;n150;n160;n161;g_246,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n292;n302;n303;g_246,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n319;n329;n330;g_246,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n4;n441;g_246
247,g_247,GCF_013449385.1_ASM1344938v1,GCF_013449385.1,GCF_013449385.1,ASM1344938v1,P. carotovorum,OK,CFBP1402,NA,NA,Serbia,Europe,Capsicum annuum,NA,1972,NA,infected host plant,NA,NCBI,NA,NA,4664496,312332,6,53,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n306;n307;n308;n309;n310;n311;g_247,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n167;n168;n169;n170;g_247,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n306;n307;n308;n309;n310;n311;n312;g_247,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n333;n334;n335;n336;n337;n338;n339;g_247,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n430;n435;n436;n437;n439;n440;g_247
248,g_248,GCF_013449375.1_ASM1344937v1,GCF_013449375.1,GCF_013449375.1,ASM1344937v1,Pectobacterium sp. CFBP8739,Inconclusive,CFBP8739,NA,NA,France,Europe,NA,NA,2017,NA,fresh river water,NA,NCBI,NA,NA,4356896,341883,5,56,n1;n2;n3;n4;n343;n376;g_248,n1;n453;n180;n179;n258;n291;g_248,n1;n2;n3;n4;n5;n344;n377;g_248,n1;n453;n252;n199;n198;n277;n310;g_248,n1;n453;n13;n14;n47;g_248
249,g_249,GCF_900195295.2_Pc0416_3,GCF_900195295.2,GCF_900195295.2,Pc0416_3,P. parvum,OK,s0416,NA,NA,Finland,Europe,NA,NA,2004,NA,stems of Solanum tuberosum,NA,NCBI,NA,NA,4606410,155422,10,78,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n170;n171;n172;n173;n177;g_249,n1;n453;n180;n179;n28;n27;n292;n315;n323;g_249,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n172;n173;n174;n175;n177;g_249,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n174;n175;n179;g_249,n1;n453;n13;n12;n11;n125;n126;n266;n267;n268;n269;n270;n271;n272;g_249
250,g_250,GCF_900195285.2_Pc0421_3,GCF_900195285.2,GCF_900195285.2,Pc0421_3,P. parvum,OK,s0421,NA,NA,Finland,Europe,NA,NA,2004,NA,stems of Solanum tuberosum,type strain,NCBI,NA,NA,4699443,181754,8,70,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n170;n171;n172;n173;n174;n176;g_250,n1;n453;n180;n179;n28;n27;n292;n315;n316;n317;n318;n319;n320;g_250,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n172;n173;n174;n175;n176;g_250,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n174;n175;n176;n177;n178;g_250,n1;n453;n13;n12;n11;n125;n126;n266;n267;n275;g_250
251,g_251,GCF_902167255.1_IPO1948_2,GCF_902167255.1,GCF_902167255.1,IPO1948_2,P. polaris,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,4968598,188799,8,52,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n155;n156;n157;g_251,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n296;n297;n298;g_251,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n155;n156;n160;g_251,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n167;n168;g_251,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n285;n287;g_251
252,g_252,GCF_902143345.1_IPO1606_1,GCF_902143345.1,GCF_902143345.1,IPO1606_1,P. polaris,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,4839023,2521935,1,19,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n165;n166;n167;g_252,n1;n453;n180;n179;n28;n27;n292;n293;n307;n308;n309;n310;n311;g_252,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n163;n164;n165;g_252,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n153;n154;n155;n156;n157;g_252,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n296;g_252
253,g_253,GCF_902143365.1_IPO3841_1,GCF_902143365.1,GCF_902143365.1,IPO3841_1,P. polaris,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,4948432,479001,4,26,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n162;g_253,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n303;g_253,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n162;g_253,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n172;g_253,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n285;n287;n288;g_253
254,g_254,GCF_902143355.1_IPO3720_1,GCF_902143355.1,GCF_902143355.1,IPO3720_1,P. polaris,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,5024225,411774,5,47,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n169;g_254,n1;n453;n180;n179;n28;n27;n292;n293;n307;n308;n313;n314;g_254,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n170;g_254,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n153;n154;n162;g_254,n1;n453;n13;n12;n11;n125;n126;n266;n276;n297;g_254
255,g_255,GCF_902143335.1_IPO3842_1,GCF_902143335.1,GCF_902143335.1,IPO3842_1,P. polaris,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,4950076,729362,3,30,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n162;g_255,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n303;g_255,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n162;g_255,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n172;g_255,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n285;n287;n288;g_255
256,g_256,GCF_012427845.1_ASM1242784v1,GCF_012427845.1,GCF_012427845.1,ASM1242784v1,P. punjabense,OK,SS95,NA,NA,Pakistan,Asia,Solanum tuberosum,Potato field,2017,Sohaib Sarfraz,NA,type strain,NCBI,representative genome,Tissue sample,4793778,4793778,1,1,n1;n2;n3;n377;n378;n418;n419;n420;n426;n427;g_256,n1;n453;n180;n181;n182;n183;n223;n224;n230;n231;g_256,n1;n2;n3;n402;n442;n443;n444;n450;g_256,n1;n453;n252;n199;n200;n201;n241;n242;n248;g_256,n1;n453;n13;n12;n48;n49;n50;n51;n54;n60;n61;g_256
257,g_257,GCF_011379045.1_ASM1137904v1,GCF_011379045.1,GCF_011379045.1,ASM1137904v1,P. parvum,renamed,WBC11,NA,NA,China,Asia,chinese cabbage,NA,2013,NA,NA,NA,NCBI,NA,Pathogenic tissue of Chinese cabbage,4704425,203753,9,68,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n170;n171;n172;n173;n174;n175;g_257,n1;n453;n180;n179;n28;n27;n292;n315;n316;n317;n318;n319;n321;g_257,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n172;n173;n179;g_257,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n174;n180;n181;g_257,n1;n453;n13;n12;n11;n125;n126;n266;n267;n268;n274;g_257
258,g_258,GCF_011378985.1_ASM1137898v1,GCF_011378985.1,GCF_011378985.1,ASM1137898v1,P. parvum,renamed,WBC9,NA,NA,China,Asia,chinese cabbage,NA,2013,NA,NA,NA,NCBI,NA,Pathogenic tissue of Chinese cabbage,4704466,203871,9,68,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n170;n171;n172;n173;n174;n175;g_258,n1;n453;n180;n179;n28;n27;n292;n315;n316;n317;n318;n319;n321;g_258,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n172;n173;n179;g_258,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n174;n180;n181;g_258,n1;n453;n13;n12;n11;n125;n126;n266;n267;n268;n274;g_258
259,g_259,GCF_011378965.1_ASM1137896v1,GCF_011378965.1,GCF_011378965.1,ASM1137896v1,P. parvum,renamed,WBC6,NA,NA,China,Asia,chinese cabbage,NA,2017,NA,NA,NA,NCBI,NA,Pathogenic tissue of Chinese cabbage,4824700,179622,9,65,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n170;n171;n178;g_259,n1;n453;n180;n179;n28;n27;n292;n315;n316;n317;n318;n322;g_259,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n172;n180;g_259,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n174;n180;n182;g_259,n1;n453;n13;n12;n11;n125;n126;n266;n267;n268;n269;n270;n271;n273;g_259
260,g_260,GCF_011378945.1_ASM1137894v1,GCF_011378945.1,GCF_011378945.1,ASM1137894v1,P. parvum,renamed,WBC1,NA,NA,China,Asia,Chinese cabbage,NA,2017,NA,NA,NA,NCBI,NA,Pathogenic tissue of Chinese cabbage,4830824,199229,9,68,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n170;n171;n178;g_260,n1;n453;n180;n179;n28;n27;n292;n315;n316;n317;n318;n322;g_260,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n172;n180;g_260,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n174;n180;n182;g_260,n1;n453;n13;n12;n11;n125;n126;n266;n267;n268;n269;n270;n271;n273;g_260
261,g_261,GCF_009931535.1_ASM993153v1,GCF_009931535.1,GCF_009931535.1,ASM993153v1,P. parmentieri,OK,HC,NA,NA,Republic of Korea,Asia,Potato,stem,2016,NA,NA,NA,NCBI,NA,culture,5208618,5208618,1,1,n1;n2;n3;n377;n378;n379;n380;n381;n406;g_261,n1;n453;n180;n181;n182;n183;n184;n185;n186;n187;n204;g_261,n1;n2;n3;n402;n403;n404;n405;g_261,n1;n453;n252;n199;n200;n201;n202;n203;n204;n205;n206;n215;g_261,n1;n453;n13;n12;n48;n49;n62;n63;n64;n65;n87;g_261
262,g_262,GCF_009931215.1_ASM993121v1,GCF_009931215.1,GCF_009931215.1,ASM993121v1,P. carotovorum,OK,JR1.1,NA,NA,Republic of Korea,Asia,radish,NA,2016,NA,NA,NA,NCBI,NA,single cell,4872902,4872902,1,1,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n291;n292;n293;n294;n295;g_262,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n149;n150;n151;n152;g_262,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n292;n293;n294;g_262,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n319;n320;n321;g_262,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n4;n3;n444;n445;g_262
263,g_263,GCF_009873295.1_ASM987329v1,GCF_009873295.1,GCF_009873295.1,ASM987329v1,P. brasiliense,OK,1692,NA,NA,Brazil,South America,potato,NA,2015,NA,NA,NA,NCBI,representative genome,Cell culture,4851982,4851982,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n136;n140;n141;n142;g_263,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n341;n345;n346;n347;g_263,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n138;n139;n140;g_263,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n135;n136;n137;n138;n139;g_263,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n261;n262;n263;g_263
264,g_264,GCF_005771575.1_ASM577157v1,GCF_005771575.1,GCF_005771575.1,ASM577157v1,P. carotovorum,OK,LMG 2410,NA,NA,United Kingdom,Europe,Cucumis sativus,NA,1957,Jenkins J.,NA,NA,NCBI,NA,whole organism,4757582,339669,5,47,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n317;n318;g_264,n1;n453;n180;n179;n28;n29;n30;n145;n173;n174;g_264,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n318;n319;g_264,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n345;n346;g_264,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n428;n429;g_264
265,g_265,GCF_005497185.1_ASM549718v1,GCF_005497185.1,GCF_005497185.1,ASM549718v1,P. polonicum,OK,DPMP315,NA,NA,Poland,Europe,NA,ground water from potato field,2016,NA,ground water,type strain,NCBI,representative genome,NA,4833751,163652,8,65,n1;n2;n3;n377;n378;n418;n419;n428;n429;g_265,n1;n453;n180;n181;n182;n183;n223;n232;n233;g_265,n1;n2;n3;n402;n442;n443;n452;n453;g_265,n1;n453;n252;n199;n200;n201;n241;n250;n251;g_265,n1;n453;n13;n12;n48;n49;n50;n51;n52;n53;g_265
266,g_266,GCF_004137795.1_ASM413779v1,GCF_004137795.1,GCF_004137795.1,ASM413779v1,P. zantedeschiae,OK,9M,NA,NA,Poland,Europe,Zantedeschia aethiopica,tuber,2005,Artur Mikicinski,NA,type strain,NCBI,representative genome,single cell,5055999,3254046,1,13,n1;n2;n3;n377;n430;n452;n453;g_266,n1;n453;n180;n181;n234;n256;n257;g_266,n1;n2;n3;n4;n378;n400;n401;g_266,n1;n453;n252;n253;n275;n276;g_266,n1;n453;n13;n12;n48;n101;n121;n122;n123;g_266
267,g_267,GCF_004296765.1_ASM429676v1,GCF_004296765.1,GCF_004296765.1,ASM429676v1,P. versatile,OK,CFBP5663,NA,NA,France,Europe,Iris sp.,NA,1983,Shmit J,plant symptom (Iris sp.),NA,NCBI,NA,cell culture,5100743,355854,5,49,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n264;g_267,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n61;g_267,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n269;g_267,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n3;n410;n411;n412;n427;n428;n431;g_267,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n351;n352;n378;n379;n381;g_267
